STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
Jeanne-Mance / René-Lévesque,Ville-Marie,45.506371,-73.564201,William / Robert-Bourassa,Le Sud-Ouest,45.497165,-73.55933,1653343910159,1653344314205
Parc Olympique (Pie-IX / Sherbrooke),Mercier - Hochelaga-Maisonneuve,45.5548245,-73.5537028,Fullum / Ontario,Ville-Marie,45.5303174,-73.5548669,1653343906473,1653345156020
Alexandre-DeSève  / Ontario,Ville-Marie,45.5243588,-73.5605344,Papineau / René-Lévesque,Ville-Marie,45.52114,-73.54926,1653343912890,1653345638784
Parc riverain de Lachine (des Iroquois),Lachine,45.4305431,-73.6690244,des Bassins / du Séminaire,Ville-Marie,45.490452,-73.560172,1653343907709,1653346737469
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,Métro St-Laurent (de Maisonneuve / St-Laurent),Ville-Marie,45.51066,-73.56497,1653343917551,1653345159192
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,Métro St-Laurent (de Maisonneuve / St-Laurent),Ville-Marie,45.51066,-73.56497,1653343916688,1653345155799
Mackay / Ste-Catherine,Ville-Marie,45.495709,-73.576952,de la Commune / King,Ville-Marie,45.497515,-73.552571,1653343925243,1653345480472
Henri-Julien / de Castelnau,Villeray - Saint-Michel - Parc-Extension,45.537891,-73.618215,Clark / St-Viateur,Le Plateau-Mont-Royal,45.5251603,-73.5992467,1653343915503,1653344870593
St-Dominique / Laurier,Le Plateau-Mont-Royal,45.5236149,-73.5924574,de la Commune / King,Ville-Marie,45.497515,-73.552571,1653343918048,1653345208517
Fullum / Holt,Rosemont - La Petite-Patrie,45.5439195,-73.5842489,de Lanaudière / du Mont-Royal,Le Plateau-Mont-Royal,45.5302211,-73.5769965,1653343918602,1653344875698
Jeanne-Mance / René-Lévesque,Ville-Marie,45.506371,-73.564201,Bishop / Ste-Catherine,Ville-Marie,45.496583,-73.576502,1653343918356,1653344390036
2e avenue / Jean-Rivard,Villeray - Saint-Michel - Parc-Extension,45.562509,-73.61656,Durocher / Bernard,Outremont,45.522225,-73.606687,1653343918647,1653345517631
27e avenue / Rosemont,Rosemont - La Petite-Patrie,45.5636787,-73.5716045,Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain),Rosemont - La Petite-Patrie,45.575707,-73.561562,1653343920502,1653344412162
Plessis / Ontario,Ville-Marie,45.523492,-73.56073,Alexandre-DeSève / Ste-Catherine,Ville-Marie,45.52123,-73.553861,1653343928520,1653344441339
Parc Jeanne-Mance (du Mont-Royal / du Parc),Le Plateau-Mont-Royal,45.517,-73.589,Atwater / Sherbrooke,Ville-Marie,45.491226,-73.58763,1653343928880,1653344547928
Métro Joliette  (Joliette / Hochelaga),Mercier - Hochelaga-Maisonneuve,45.546907,-73.551557,Aylwin / Ontario,Mercier - Hochelaga-Maisonneuve,45.544284,-73.54534,1653343924435,1653344119619
Marie-Anne / de la Roche,Le Plateau-Mont-Royal,45.527758,-73.576185,Boyer / Beaubien,Rosemont - La Petite-Patrie,45.537041,-73.602026,1653343924902,1653344793486
BAnQ (Berri / de Maisonneuve),Ville-Marie,45.515299,-73.561273,Roy / St-André,Le Plateau-Mont-Royal,45.521564,-73.570367,1653343936414,1653344283848
Calixa-Lavallée / Sherbrooke,Le Plateau-Mont-Royal,45.52479,-73.56545,Ste-Famille / Sherbrooke,Le Plateau-Mont-Royal,45.510072,-73.570752,1653343930509,1653344765847
Marie-Anne / Papineau,Le Plateau-Mont-Royal,45.5317737,-73.5724462,Messier / du Mont-Royal,Le Plateau-Mont-Royal,45.537114,-73.571003,1653343928673,1653344128319
Bernard / Jeanne-Mance,Le Plateau-Mont-Royal,45.524287,-73.604973,Waverly / Van Horne,Le Plateau-Mont-Royal,45.527363,-73.607723,1653343934822,1653345884534
Parc Olympique (Pie-IX / Sherbrooke),Mercier - Hochelaga-Maisonneuve,45.5548245,-73.5537028,Fullum / Ontario,Ville-Marie,45.5303174,-73.5548669,1653343924336,1653345166242
Duluth / St-Laurent,Le Plateau-Mont-Royal,45.516876,-73.57946,Boyer / Beaubien,Rosemont - La Petite-Patrie,45.537041,-73.602026,1653343932311,1653344815143
Tolhurst / Fleury,Ahuntsic-Cartierville,45.544149,-73.66752,Drolet / Jarry,Villeray - Saint-Michel - Parc-Extension,45.541955,-73.629942,1653343929506,1653345170591
Garnier / St-Grégoire,Le Plateau-Mont-Royal,45.5358344,-73.5870212,St-Hubert / Laurier,Le Plateau-Mont-Royal,45.52931,-73.588657,1653343931782,1653344205284
Drolet / Laurier,Le Plateau-Mont-Royal,45.526252,-73.589758,Wurtele / de Rouen,Ville-Marie,45.537628,-73.553394,1653343936211,1653345075024
Jacques-Casault / Christophe-Colomb,Ahuntsic-Cartierville,45.552123,-73.630103,Waverly / St-Viateur,Le Plateau-Mont-Royal,45.523856,-73.600127,1653343933891,1653345260365
Tolhurst / Fleury,Ahuntsic-Cartierville,45.544149,-73.66752,Drolet / Jarry,Villeray - Saint-Michel - Parc-Extension,45.541955,-73.629942,1653343942591,1653345170799
St-André / Cherrier,Le Plateau-Mont-Royal,45.520524,-73.567697,BAnQ (Berri / de Maisonneuve),Ville-Marie,45.515299,-73.561273,1653343941105,1653344156514
Parc Jeanne Mance (monument sir George-Etienne Cartier),Le Plateau-Mont-Royal,45.51484,-73.584779,Prince-Arthur / du Parc,Le Plateau-Mont-Royal,45.51059,-73.57547,1653343942589,1653344195383
St-Denis / René-Lévesque,Ville-Marie,45.512871,-73.558466,Logan / d'Iberville,Ville-Marie,45.53057,-73.54913,1653343943201,1653344620353
