code,name,latitude,longitude
6150,Messier / du Mont-Royal,45.5371141,-73.5710031
6151,des Érables / du Mont-Royal,45.5358535,-73.5720545
6152,Chabot / du Mont-Royal,45.5341851,-73.5735887
6153,Cartier / Marie-Anne,45.532674,-73.571776
6154,Marquette / du Mont-Royal,45.53229,-73.57544
6155,Garnier / du Mont-Royal,45.53092,-73.57674
6156,Marie-Anne / de la Roche,45.5277581,-73.5761851
6157,de Brébeuf / du Mont-Royal,45.5294078,-73.5781538
6158,Gilford / de Brébeuf,45.5308162,-73.581626
6159,Ann / Wellington,45.4945271,-73.5567525
6160,Garnier / St-Joseph,45.5329775,-73.5812223
6161,Cartier / St-Joseph,45.5358282,-73.5786903
6162,St-Dominique / de Bellechasse,45.5295247,-73.6048888
6163,Marquette / Laurier,45.53543,-73.5822
6164,de Lanaudière / Laurier,45.5333136,-73.5837369
6165,Laurier / de Brébeuf,45.532514,-73.5848111
6166,Gerry-Boulet / St-Grégoire,45.5338352,-73.5892823
6167,Garnier / St-Grégoire,45.5357948,-73.5870829
6168,Marmier / St-Denis,45.5307634,-73.5984944
6169,Boyer / du Mont-Royal,45.5274321,-73.5799167
6170,de Mentana / Laurier,45.5304501,-73.5876381
6171,Wolfe / Robin,45.5195808,-73.560116
6173,Berri / Cherrier,45.5190884,-73.5695091
6174,Roy / St-Denis,45.51908,-73.5727
6175,St-Christophe / Cherrier,45.5203683,-73.5684228
6176,de Mentana / Rachel,45.5249632,-73.5755588
6177,St-Hubert / Duluth,45.5224257,-73.5741842
6178,Rivard / Rachel,45.5222776,-73.5775906
6179,Duluth / St-Denis,45.5208869,-73.5757184
6180,des Soeurs-Grises / Marguerite-d'Youville,45.4987648,-73.5544766
6181,Clark / Rachel,45.5173538,-73.5821289
6182,de Bullion / du Mont-Royal,45.5216838,-73.585149
6183,Laval / du Mont-Royal,45.5223646,-73.5841459
6184,Métro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255
6185,des Érables / Bélanger,45.5491209,-73.6008735
6186,St-Hubert / Laurier,45.5293101,-73.5886574
6187,Resther / du Mont-Royal,45.5256282,-73.5817748
6188,de Mentana / Marie-Anne,45.5260266,-73.5778588
6189,Chabot / Villeray,45.5522894,-73.6130065
6190,Pontiac / Gilford,45.5270093,-73.585766
6191,Clark / St-Zotique,45.531611,-73.6133498
6192,Boucher / St-Denis,45.5278492,-73.5918613
6193,de l'Esplanade / Fairmount,45.5214957,-73.5968267
6094,de Gaspé / Laurier,45.5249292,-73.5914898
6195,de Bullion / St-Joseph,45.5240365,-73.5901433
6196,Villeneuve / St-Laurent,45.5213417,-73.5894191
6197,de Bordeaux / Masson,45.5389844,-73.5824454
6198,Hélène-Baillargeon / St-Denis,45.52974,-73.59527
6199,St-Viateur / St-Laurent,45.5259307,-73.598839
6200,Maguire / St-Laurent,45.5246285,-73.5958108
6201,Villeneuve / de l'Hôtel-de-Ville,45.5235442,-73.5873324
6203,Aylmer / Sherbrooke,45.5065867,-73.5732991
6205,Milton / du Parc,45.5093614,-73.5738637
6206,Prince-Arthur / du Parc,45.51059,-73.57547
6207,Ste-Famille / des Pins,45.5128317,-73.5768878
6208,Hutchison / des Pins,45.51069,-73.57805
6209,Milton / Clark,45.5125414,-73.5706772
6210,Métro Sauvé (Berri / Sauvé),45.5506921,-73.6563671
6211,Roy / St-Laurent,45.5156162,-73.5758083
6212,Duluth / de l'Esplanade,45.515092,-73.5811418
6213,Duluth / St-Laurent,45.5170456,-73.5792965
6214,Square St-Louis (du Square St-Louis / Laval),45.5160908,-73.5701287
6215,Metcalfe / St-Catherine,45.5008323,-73.5724595
6216,Parc Jeanne Mance (monument sir George-Etienne Cartier),45.5148399,-73.5847789
6217,Vallières / St-Laurent,45.5189672,-73.5836162
6219,de l'Hôtel-de-Ville / Roy,45.5174008,-73.5746053
6220,Laval / Duluth,45.5192162,-73.5771802
6221,du Mont-Royal / Clark,45.51941,-73.58685
6222,de l'Esplanade / du Mont-Royal,45.5182529,-73.5883382
6223,Parc Jeanne-Mance (du Mont-Royal / du Parc),45.517,-73.589
6224,Villeneuve / du Parc,45.51829,-73.59235
6225,Villeneuve / St-Urbain,45.520188,-73.590559
6226,Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain),45.575707,-73.561562
6227,Jeanne-Mance / Laurier,45.5202763,-73.5949762
6229,St-Dominique / du Mont-Royal,45.5205595,-73.5858203
6230,Waverly / St-Viateur,45.5238561,-73.6001265
6231,Jeanne-Mance / St-Viateur,45.5230265,-73.6018404
6234,Bernard / St-Urbain,45.5262669,-73.6031909
6235,St-Dominique / St-Viateur,45.526557,-73.5982758
6236,Laurier / de Bordeaux,45.5372299,-73.5791872
6237,Gilford / de Lanaudière,45.532008,-73.5804445
6903,St-Dominique / Napoléon,45.5166644,-73.5772204
6924,de Bordeaux / Jean-Talon,45.5497548,-73.605566
6240,Parc Kent (de Kent / Hudson),45.5057209,-73.6294591
6241,Querbes / Laurier,45.51754,-73.5978319
6243,Bloomfield / Bernard,45.5204578,-73.6082724
6245,Bloomfield / Van Horne,45.5227453,-73.6132814
6246,St-Cyril / Wiseman,45.5208548,-73.6157396
6247,St-Dominique / St-Zotique,45.5322646,-73.6110632
6248,St-Dominique / Rachel,45.518593,-73.581566
6249,Bélanger / St-Denis,45.53696,-73.61199
6250,Marché Jean-Talon (Henri-Julien / Jean-Talon),45.5367853,-73.614888
6251,de Gaspé / Dante,45.5342978,-73.6121723
6252,Mozart / St-Laurent,45.5331841,-73.6155492
6253,Métro Jean-Talon (Berri / Jean-Talon),45.5390004,-73.614251
6254,Boyer / Bélanger,45.54006,-73.60897
6255,Boyer / St-Zotique,45.53848,-73.60556
6257,de St-Vallier / St-Zotique,45.5364343,-73.6078343
6258,Parc Père-Marquette (Chambord / Rosemont),45.5370878,-73.5932185
6259,des Érables / Dandurand,45.5413694,-73.583974
6260,Cartier / Dandurand,45.5392356,-73.5859457
6261,Louis-Hémon / Rosemont,45.5445986,-73.5882229
6262,de la Roche /  de Bellechasse,45.5371592,-73.5974765
6263,de Hampton / de Monkland,45.4711793,-73.6270022
6264,Chabot / de Bellechasse,45.5425697,-73.5921443
6265,des Érables / Laurier,45.5384608,-73.5776791
6266,Louis-Hébert / de Bellechasse,45.5466611,-73.5886842
6267,Chabot / Beaubien,45.5443755,-73.5956445
6268,Chambord / Beaubien,45.5399322,-73.5993433
6269,Wurtele / de Rouen,45.5376278,-73.5533944
6270,Fabre / St-Zotique,45.5434517,-73.6010103
6271,Place du Village-de-la-Pointe-aux-Trembles (St-Jean-Baptiste / Notre-Dame),45.6400029,-73.490113
6272,de Bordeaux / St-Zotique,45.546539,-73.5986647
6273,Cartier / Bélanger,45.5467974,-73.6026639
6274,Christophe-Colomb / St-Joseph,45.5303649,-73.5843927
6275,Chambord / Jean-Talon,45.5448456,-73.6105362
6276,de la Roche / Bélanger,45.5416696,-73.6076045
6278,Louis-Hébert / St-Zotique,45.55001,-73.59576
6279,Louis-Hébert / Bélanger,45.5515852,-73.5991649
6904,Fabre / Beaubien,45.5420596,-73.5978734
6905,Fullum / Holt,45.5439195,-73.5842489
6906,Métro Rosemont (de St-Vallier / Rosemont),45.5319549,-73.5981604
6907,Boyer / Rosemont,45.534136,-73.595478
6908,de Bellechasse / de St-Vallier,45.5334104,-73.6011243
6921,Augustin-Cantin / Shearer,45.4839017,-73.5636324
6926,Marie-Anne / St-Hubert,45.524683,-73.5788968
6927,Édouard-Montpetit / de Stirling,45.50723,-73.615085
6928,McKenna / Édouard-Montpetit,45.5012069,-73.6205328
6228,Waverly / Van Horne,45.527363,-73.607723
6232,Hutchison / Van Horne,45.5249419,-73.6106059
6233,Jeanne-Mance / Bernard,45.5244504,-73.6051744
6917,Basile-Routhier / Chabanel,45.5498684,-73.6476566
6919,10e avenue / Holt,45.5519116,-73.5792112
6910,Boyer / Beaubien,45.537041,-73.602026
6086,des Bassins / du Séminaire,45.4905646,-73.5603333
6087,Notre-Dame / de la Montagne,45.493029,-73.5648179
6088,Guy / Notre-Dame,45.4900422,-73.5671112
6277,Louis-Hébert / Beaubien,45.5481864,-73.5920101
6280,St-Dominique / Laurier,45.5236149,-73.5924574
10002,Métro Charlevoix (Centre / Charlevoix),45.4782279,-73.5696512
6401,des Seigneurs / Notre-Dame,45.4877228,-73.5690826
6402,Ste-Émilie / Sir-Georges-Etienne-Cartier,45.472668,-73.5853898
6403,Georges-Vanier / Notre-Dame,45.485048,-73.5719633
6404,Quesnel / Vinet,45.485889,-73.577514
6405,Duvernay / Charlevoix,45.482098,-73.5748762
6406,Marché Atwater,45.4802082,-73.5775986
6407,Charlevoix / Lionel-Groulx,45.483928,-73.5773116
6408,Métro Georges-Vanier (St-Antoine / Canning),45.4891,-73.57656
6307,Laval / Rachel,45.5201785,-73.5794239
6309,4e avenue / de Verdun,45.4568845,-73.572607
6310,de Soissons / de Darlington,45.5068991,-73.6235261
6313,Bel Air / St-Antoine,45.4824297,-73.5836798
6312,de Kent / de la Côte-des-Neiges,45.5014493,-73.6330506
6311,Drolet / St-Zotique,45.5348821,-73.6094123
6314,de Lanaudière / Marie-Anne,45.5293264,-73.5748065
6315,Jean-Brillant / de la Côte-des-Neiges,45.495415,-73.6223406
6316,McLynn / Plamondon,45.4891131,-73.6470129
6383,Bourbonnière / du Mont-Royal,45.5535707,-73.5604942
6385,de Bordeaux / Gilford,45.5361101,-73.576287
6386,Métro Préfontaine (Moreau / Hochelaga),45.5412155,-73.5537136
6387,Métro Joliette  (Joliette / Hochelaga),45.5469072,-73.5515571
6388,d'Orléans / Hochelaga,45.5506169,-73.5490143
6389,Boyer / Jean-Talon,45.5415863,-73.6124808
6391,Aylwin / Ontario,45.5443031,-73.5454725
6393,Dézéry / Ontario,45.5409579,-73.5470295
6394,Valois / Ontario,45.5470481,-73.5434461
6395,Métro Viau (Pierre-de-Coubertin / Viau),45.5617828,-73.5466111
6397,Marché Maisonneuve,45.5532188,-73.5397822
6398,Desjardins / Ontario,45.5511919,-73.5408725
6323,Guizot / St-Laurent,45.5396632,-73.6344749
6327,Faillon / St-Denis,45.5398641,-73.6203128
6329,Drolet / Gounod,45.5409513,-73.6263746
6330,de Gaspé / Jarry,45.54078,-73.6304006
6331,Guizot / St-Denis,45.5434235,-73.6324619
6332,de Gaspé / de Liège,45.5424852,-73.6363417
6333,de Chateaubriand / Leman,45.5472345,-73.6310256
6334,Lajeunesse / Jarry,45.5435597,-73.627772
6335,du Rosaire / St-Hubert,45.5448193,-73.6215104
6336,Boyer / Everett,45.5432845,-73.6162861
6338,de Chateaubriand / Jarry,45.5458416,-73.6266536
6339,Harvard / de Monkland,45.4745652,-73.6240357
6340,de la Roche / Everett,45.544867,-73.614841
6341,Regina / de Verdun,45.467369,-73.570769
6343,Marquette / Villeray,45.5507398,-73.6152944
6345,Louis-Hémon / Villeray,45.5549613,-73.6107373
6346,Nicolet / Sherbrooke,45.5496954,-73.554647
6347,Métro St-Michel (Shaughnessy / St-Michel),45.559199,-73.599658
6349,Ryde / Charlevoix,45.4757434,-73.5646007
6350,de Laprairie / Centre,45.4805925,-73.5657781
6322,St-Dominique / Gounod,45.5387379,-73.6280215
6324,Lajeunesse / de Liège,45.5455805,-73.6349
6328,de Gaspé / Villeray,45.5388872,-73.623907
6354,Marcil / Sherbrooke,45.471743,-73.613924
6355,Ontario / Sicard,45.5562619,-73.5374406
6356,de Monkland / Girouard,45.4771068,-73.621438
6357,12e avenue / St-Zotique,45.5568667,-73.5893065
6358,1ère  avenue / St-Zotique,45.5519374,-73.5939279
6359,St-Dominique / Ontario,45.5116011,-73.5663205
6360,Beaubien / 8e avenue,45.5534568,-73.587842
6361,Molson / Beaubien,45.5496859,-73.5911545
6362,1ère avenue / Rosemont,45.5478,-73.5848674
6363,de la Côte St-Antoine / Royal,45.468927,-73.6198702
6364,de Chambly / Rachel,45.5499107,-73.5582626
6366,Wilderton  / Van Horne,45.5101416,-73.6247519
6367,3e avenue / Holt,45.5480035,-73.5813899
6368,10e avenue / Masson,45.5503765,-73.5737336
6369,U. Concordia - Campus Loyola (Sherbrooke / West Broadway),45.4575091,-73.6394852
6370,d'Orléans / Masson,45.557192,-73.569847
6371,4e avenue / Masson,45.5469264,-73.5754113
6372,1ère avenue / Masson,45.5451997,-73.5764507
6373,7e avenue / St-Joseph Rosemont,45.5471082,-73.5693669
6374,15e avenue / Masson,45.553898,-73.5713866
6375,St-Philippe / St-Jacques,45.4768907,-73.5881113
6376,16e avenue / St-Joseph,45.5529361,-73.5657714
6377,Grand Trunk / d'Hibernia,45.47968,-73.56385
6379,de l'Église / Bannantyne,45.4632535,-73.5758793
6380,Parc J.-Arthur-Champagne (de Chambly / du Mont-Royal),45.551584,-73.561916
6381,Omer-Lavallée / du Midway,45.545776,-73.5621746
6384,Rivier / Davidson,45.5461147,-73.5570931
6396,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.5542138,-73.5515597
6301,Parc Outremont (Bloomfield / Elmwood),45.5183094,-73.6032861
6302,Parc Beaubien (Stuart / St-Viateur),45.5160787,-73.6077976
6303,Parc Pratt (Dunlop / Van Horne),45.5149477,-73.6196262
6304,Parc Joyce (Rockland / Lajoie),45.515617,-73.614991
6305,Davaar / de la Côte-Ste-Catherine,45.514379,-73.610871
6306,Métro Édouard-Montpetit (du Mont-Royal / Vincent-d'Indy),45.510086,-73.611429
6321,Gary-Carter / St-Laurent,45.5358998,-73.6224425
6344,St-Dominique / Jean-Talon,45.5352481,-73.6175635
6409,Lionel-Groulx / George-Vanier,45.4862194,-73.573747
6021,de l'Hôtel-de-Ville / Sherbrooke,45.5145247,-73.5683557
6066,Campus MIL (Outremont / Thérèse-Lavoie Roux),45.5231143,-73.6181536
6218,Prince-Arthur / St-Urbain,45.5125874,-73.5737389
6501,Parc Jean-Drapeau (Chemin Macdonald),45.5128006,-73.5311159
6502,Casino de Montréal,45.5063732,-73.5245767
